Nummer;Frage
F0092;Du hast die Möglichkeit die Wahrheit über den Ursprung des Universums zu erfahren, aber niemand wird dir glauben und alle halten dich für verrückt.
F0093;Würdest du das Internet abschalten und dadurch Cybermobbing, Fake News,… alles wird verschwinden, aber wir werden keine weiteren technologischen Fortschritte machen
F0094;Wärst du lieber unsichtbar auf Knopfduck oder du könntest immer Gedanken lesen?
F0095;Du bekommst 50.000€, aber dafür wird einem deiner freunde geschadet, er wird nicht sterben, aber eine Verletzung oder so
F0096;Du kannst unsterblich sein. Würdest du es machen?
F0097;Du bekommst 75.000€, aber musst einen Schneidezahn abgeben und darfst dir 5 Jahre lang keinen neuen einsetzen
F0098;Nie wieder Klopapier oder nie wieder Besteck?
F0099;Für den Rest deines Lebens schmeckt jedes deiner Getränke ganz leicht nach Fisch oder du verlierst nach jedem mal Lachen 10 Minuten deine Stimme
F0100;Du verlierst alle deine Haare außer auf deinem  Kopf, Augenbrauen und Wimpern und bekommst 250.000€
F0101;Für wie viel Geld würdest du für immer schweigen?
F0102;Eine Aufzugfahrt mit Messi in der er sich auch mit dir unterhält oder ein Abendessen mit Ronaldo?
F0103;Würdest du mit der Frau deines besten Freundes schlafen, wenn du ihm dadurch 10 Jahre schlechte Ehe ersparen würdest?
F0104;Du bist immun gegen Gift oder selbst giftig, kannst aber entscheiden ob du vergiftest oder nicht
F0105;Du verlierst ein Ohr, aber Hörst doppelt so gut hören?
F0106;Du bekommst eine Superkraft. Entweder kannst du dich einmal pro Woche für 5 Minuten unsichtbar machen oder du kannst mit Tauben sprechen
F0107;Jedes mal wenn du nießen musst verwandeln sich deine Klamotten in ein Clownskostüm oder wenn du furzen musst, ertönt eine laute Trompete
F0108;Du musst eine Woche lang mit einem Lama in deiner Wohnung leben oder du schläfst eine Woche lang mit einer Ratte von der Straße in einem Bett
F0109;Würdest du nur noch mit den Händen essen oder nie wieder telefonieren dürfen (auch nicht Skype, Spachnachrichten…)
F0110;Würdest du lieber bis zu 10 Millionen  € bekommen oder du Menschen durch Berührung sexuell erregen ohne dass die wissen was los ist und du kannst sogar kontrollieren wie stark
F0111;Würdest du lieber unter Wasser atmen können oder fliegen können?
F0112;Hast du lieber 10 mal mehr Geld oder 10 mal mehr Freunde (gleichwertige Freunde)
F0113;Du bekommst 1 Mio. € aber bekommst dafür eine verstörende, leicht gruselige Lache 
F0114;Jedes mal wenn du nießt teleportierst du dich für 10 Meter in eine zufällige Richtung ( es passiert nix gefährliches) oder wenn du gähnst wird dein rechtes Bein für 30 Sekunden Taub
F0115;Du darfst 3 Sprachen direkt perfekt auch höchsten Niveau in Wort und Schrift beherrschen. Welche?
F0116;Du bekommst unter jedem Auge eine kleine Träne tätowiert, aber dafür können deine Augen 100% scharf sehen.
F0117;Würdest du für 100.000€ jedes Mahlzeit 1 Jahr nur mit einem Essstäbchen essen 
F0118;Würdest du lieber Orangensaft trinken der nach Pisse schmeckt oder Pisse trinken die nach Orangensaft schmeckt?
F0119;Entweder du schnarchst extrem laut oder dein Partner schnarcht extrem laut?
F0120;Für wie viel € würdest du deine Mutter dein komplettes Handy durchgucken lassen?
F0121;Du bekommst 500.000€ aber dafür musst du jedem immer sagen, was du gerade über die Person denkst
F0122;Du bist super reich aber hast keine Freunde oder bist arm und hast viele echte Freunde
